index,income_total
655,211500
656,67500
657,225000
658,202500
659,90000
660,112500
661,270000
662,135000
663,225000
664,360000
665,405000
666,157500
667,270000
668,121500
669,193500
670,225000
671,135000
672,90000
673,45000
674,157500
675,162000
676,157500
677,180000
678,270000
679,135000
680,180000
681,180000
682,157500
683,157500
684,193500
685,270000
686,157500
687,135000
688,360000
689,157500
690,121500
691,135000
692,211500
693,202500
694,202500
695,112500
696,225000
697,157500
698,157500
699,270000
700,157500
701,450000
702,180000
703,112500
704,360000
705,247500
706,67500
707,225000
708,112500
709,225000
710,157500
711,108000
712,94500
713,81000
714,135000
715,103500
716,157500
717,297000
718,112500
719,94500
720,112500
721,310500
722,225000
723,180000
724,112500
725,373500
726,337500
727,225000
728,315000
729,157500
730,202500
731,202500
732,144000
733,157500
734,135000
735,135000
736,427500
737,202500
738,360000
739,202500
740,157500
741,270000
742,157500
743,90000
744,292500
745,180000
746,90000
747,112500
748,135000
749,225000
750,270000
751,157500
752,180000
753,157500
754,202500
755,171000
756,135000
757,216000
758,90000
759,126000
760,90000
761,140850
762,157500
763,135000
764,315000
765,157500
766,157500
767,121500
768,216000
769,90900
770,225000
771,112500
772,153000
773,117000
774,123750
775,144000
776,180000
777,135000
778,54000
779,270000
780,202500
781,108000
782,157500
783,270000
784,112500
785,157500
786,180000
787,157500
788,252000
789,144000
790,157500
791,144000
792,112500
793,202500
794,112500
795,90000
796,202500
797,202500
798,112500
799,94500
800,157500
801,180000
802,495000
803,99000
804,144000
805,112500
806,135000
807,211500
808,90000
809,135000
810,148500
811,180000
812,225000
813,90000
814,157500
815,306000
816,135000
817,247500
818,81000
819,225000
820,112500
821,540000
822,112500
823,112500
824,126000
825,225000
826,247500
827,247500
828,148500
829,157500
830,166500
831,157500
832,135000
833,90000
834,360000
835,135000
836,67500
837,225000
838,112500
839,252000
840,405000
841,191250
842,112500
843,180000
844,90000
845,112500
846,225000
847,360000
848,427500
849,180000
850,225000
851,202500
852,135000
853,225000
854,207000
855,270000
856,112500
857,202500
858,139500
859,90000
860,58500
861,270000
862,112500
863,315000
864,270000
865,112500
866,112500
867,382500
868,112500
869,135000
870,225000
871,202500
872,198000
873,180000
874,180000
875,202500
876,157500
877,180000
878,135000
879,90000
880,171000
881,135000
882,405000
883,135000
884,270000
885,202500
886,135000
887,81000
888,297000
889,126000
890,90000
891,139500
892,292500
893,270000
894,157500
895,135000
896,144000
897,540000
898,360000
899,180000
900,180000
901,83250
902,135000
903,225000
904,157500
905,76500
906,360000
907,157500
908,180000
909,126000
910,202500
911,225000
912,76500
913,112500
914,360000
915,270000
916,135000
917,202500
918,87448.5
919,180000
920,391500
921,135000
922,126000
923,157500
924,225000
925,202500
926,144000
927,157500
928,130500
929,315000
930,90000
931,202500
932,157500
933,157500
934,157500
935,90000
936,315000
937,135000
938,157500
939,126000
940,135000
941,716323.5
942,157500
943,202500
944,81000
945,157500
946,193500
947,675000
948,85500
949,360000
950,202500
951,360000
952,270000
953,157500
954,225000
955,270000
956,180000
957,126000
958,103500
959,990000
960,225000
961,135000
962,67500
963,315000
964,112500
965,189000
966,76500
967,135000
968,67500
969,180000
970,180000
971,135000
972,202500
973,157500
974,81000
975,274500
976,157500
977,225000
978,315000
979,247500
980,157500
981,108000
982,270000
983,225000
984,315000
985,108000
986,315000
987,103500
988,135000
989,90000
990,67500
991,202500
992,135000
993,135000
994,180000
995,67500
996,76500
997,202500
998,157500
999,90000
1000,306000
1001,247500
1002,270000
1003,135000
1004,135000
1005,135000
1006,225000
1007,99000
1008,56250
1009,99000
1010,202500
1011,157500
1012,225000
1013,459000
1014,202500
1015,144000
1016,135000
1017,360000
1018,135000
1019,135000
1020,135000
1021,202500
1022,171000
1023,202500
1024,450000
1025,157500
1026,225000
1027,450000
1028,247500
1029,292500
1030,29250
1031,56250
1032,135000
1033,315000
1034,270000
1035,180000
1036,225000
1037,225000
1038,225000
1039,315000
1040,67500
1041,135000
1042,315000
1043,360000
1044,157500
1045,180000
1046,135000
1047,81000
1048,112500
1049,112500
1050,292500
1051,139500
1052,90000
1053,135000
1054,180000
1055,157500
1056,90000
1057,292500
1058,135000
1059,225000
1060,180000
1061,157500
1062,92250
1063,112500
1064,202500
1065,315000
1066,225000
1067,157500
1068,225000
1069,72000
1070,202500
1071,121500
1072,58500
1073,99000
1074,337500
1075,180000
1076,157500
1077,112500
1078,315000
1079,238500
1080,162000
1081,315000
1082,103500
1083,135000
1084,45000
1085,121500
1086,67500
1087,225000
1088,180000
1089,121500
1090,144000
1091,112500
1092,112500
1093,360000
1094,225000
1095,135000
1096,135000
1097,360000
1098,427500
1099,90000
1100,90000
1101,171000
1102,225000
1103,108000
1104,202500
1105,180000
1106,234000
1107,171000
1108,117000
1109,157500
1110,135000
1111,31500
1112,90000
1113,202500
1114,391500
1115,225000
1116,135000
1117,180000
1118,157500
1119,180000
1120,157500
1121,135000
1122,157500
1123,189000
1124,135000
1125,50850
1126,292500
1127,225000
1128,225000
1129,180000
1130,270000
1131,135000
1132,225000
1133,405000
1134,67500
1135,103500
1136,202500
1137,225000
1138,157500
1139,202500
1140,103500
1141,31500
1142,315000
1143,130500
1144,184500
1145,185400
1146,135000
1147,292500
1148,180000
1149,45000
1150,180000
1151,58500
1152,112500
1153,117000
1154,180000
1155,90000
1156,202500
1157,360000
1158,337500
1159,135000
1160,135000
1161,315000
1162,157500
1163,81000
1164,112500
1165,256500
1166,72000
1167,58500
1168,135000
1169,157500
1170,180000
1171,180000
1172,180000
1173,450000
1174,112500
1175,157500
1176,270000
1177,99000
1178,247500
1179,126000
1180,112500
1181,202500
1182,135000
1183,180000
1184,67500
1185,112500
1186,180000
1187,112500
1188,180000
1189,135000
1190,94500
1191,225000
1192,157500
1193,180000
1194,135000
1195,140400
1196,247500
1197,247500
1198,135000
1199,225000
1200,180000
1201,247500
1202,171000
1203,121500
1204,180000
1205,225000
1206,157500
1207,202500
1208,180000
1209,112500
1210,202500
1211,135000
1212,171000
1213,247500
1214,202500
1215,180000
1216,157500
1217,171000
1218,450000
1219,81000
1220,90000
1221,180000
1222,225000
1223,135000
1224,144000
1225,112500
1226,90000
1227,72000
1228,157500
1229,135000
1230,238500
1231,67500
1232,202500
1233,157500
1234,315000
1235,360000
1236,112500
1237,187650
1238,292500
1239,90000
1240,180000
1241,225000
1242,225000
1243,225000
1244,180000
1245,198000
1246,126000
1247,157500
1248,157500
1249,112500
1250,135000
1251,112500
1252,112500
1253,121500
1254,171000
1255,135000
1256,180000
1257,126000
1258,112500
1259,157500
1260,180000
1261,171000
1262,126000
1263,360000
1264,202500
1265,90000
1266,112500
1267,135000
1268,225000
1269,112500
1270,247500
1271,315000
1272,135000
1273,76500
1274,130500
1275,180000
1276,47250
1277,225000
1278,130500
1279,324000
1280,180000
1281,360000
1282,135000
1283,135000
1284,337500
1285,76500
1286,360000
1287,135000
1288,144000
1289,90000
1290,180000
1291,202500
1292,112500
1293,126000
1294,135000
1295,135000
1296,247500
1297,85500
1298,135000
1299,144000
1300,270000
1301,247500
1302,126000
1303,247500
1304,360000
1305,45000
1306,315000
1307,112500
1308,180000
1309,135000
1310,157500
1311,135000
1312,90000
1313,292500
1314,243000
1315,130500
1316,675000
1317,225000
1318,112500
1319,126000
1320,76500
1321,126000
1322,144000
1323,157500
1324,153000
1325,247500
1326,67500
1327,180000
1328,202500
1329,202500
1330,225000
1331,157500
1332,202500
1333,270000
1334,157500
1335,157500
1336,81000
1337,225000
1338,103500
1339,117000
1340,306000
1341,270000
1342,135000
1343,202500
1344,135000
1345,135000
1346,225000
1347,360000
1348,360000
1349,225000
1350,130500
1351,292500
1352,121500
1353,135000
1354,135000
1355,180000
1356,144000
1357,405000
1358,292500
1359,157500
1360,135000
1361,81000
1362,157500
1363,97731
1364,292500
1365,135000
1366,292500
1367,90000
1368,216000
1369,247500
1370,225000
1371,270000
1372,247500
1373,112500
1374,247500
1375,225000
1376,450000
1377,180000
1378,67500
1379,126000
1380,103500
1381,67500
1382,112500
1383,112500
1384,112500
1385,225000
1386,99000
1387,315000
1388,270000
1389,225000
1390,225000
1391,495000
1392,216000
1393,202500
1394,126000
1395,135000
1396,90000
1397,270000
1398,157500
1399,135000
1400,162000
1401,202500
1402,184500
1403,135000
1404,72000
1405,112500
1406,225000
1407,76500
1408,121500
1409,180000
1410,112500
1411,270000
1412,135000
1413,135000
1414,180000
1415,90000
1416,225000
1417,202500
1418,81000
1419,121500
1420,148500
1421,360000
1422,99000
1423,180000
1424,157500
1425,202500
1426,112500
1427,360000
1428,157500
1429,81000
1430,157500
1431,180000
1432,37800
1433,121500
1434,202500
1435,382500
1436,225000
1437,202500
1438,225000
1439,180000
1440,90000
1441,180000
1442,157500
1443,126000
1444,180000
1445,144000
1446,225000
1447,225000
1448,112500
1449,225000
1450,315000
1451,360000
1452,324000
1453,157500
1454,180000
1455,175500
1456,270000
1457,112500
1458,180000
1459,180000
1460,180000
1461,135000
1462,405000
1463,135000
1464,337500
1465,135000
1466,112500
1467,67500
1468,202500
1469,247500
1470,180000
1471,270000
1472,450000
1473,157500
1474,112500
1475,112500
1476,117000
1477,180000
1478,135000
1479,225000
1480,270000
1481,135000
1482,157500
1483,121500
1484,144000
1485,157500
1486,256500
1487,225000
1488,247500
1489,135000
1490,157500
1491,157500
1492,270000
1493,180000
1494,180000
1495,180000
1496,90000
1497,225000
1498,180000
1499,112500
1500,117000
1501,135000
1502,157500
1503,157500
1504,135000
1505,112500
1506,180000
1507,247500
1508,85500
1509,157500
1510,135000
1511,54000
1512,247500
1513,360000
1514,144000
1515,270000
1516,121500
1517,103500
1518,270000
1519,612000
1520,135000
1521,562500
1522,99000
1523,135000
1524,225000
1525,225000
1526,112500
1527,112500
1528,193500
1529,90000
1530,126000
1531,135000
1532,121500
1533,171261
1534,270000
1535,112500
1536,315000
1537,67500
1538,225000
1539,225000
1540,112500
1541,135000
1542,126000
1543,135000
1544,157500
1545,112500
1546,292500
1547,225000
1548,225000
1549,135000
1550,135000
1551,112500
1552,112500
1553,202500
1554,144000
1555,157500
1556,112500
1557,67500
1558,135000
1559,180000
1560,135000
1561,112500
1562,148500
1563,135000
1564,117000
1565,202500
1566,270000
1567,270000
1568,135000
1569,90000
1570,315000
1571,135000
1572,135000
1573,360000
1574,112500
1575,198000
1576,157500
1577,112500
1578,180000
1579,180000
1580,99000
1581,247500
1582,225000
1583,112500
1584,202500
1585,144000
1586,94500
1587,112500
1588,157500
1589,202500
1590,90000
1591,238500
1592,315000
1593,81000
1594,180000
1595,202500
1596,180000
1597,67500
1598,135000
1599,225000
1600,112500
1601,162000
1602,135000
1603,148500
1604,540000
1605,148500
1606,112500
1607,72000
1608,135000
1609,148500
1610,73350
1611,292500
1612,112500
1613,157500
1614,135000
1615,180000
1616,292500
1617,351000
1618,157500
1619,180000
1620,337500
1621,225000
1622,180000
1623,157500
1624,247500
1625,90000
1626,72000
1627,135000
1628,234000
1629,207000
1630,90000
1631,180000
1632,225000
1633,225000
1634,180000
1635,112500
1636,360000
1637,247500
1638,157500
1639,45000
1640,81000
1641,112500
1642,148500
1643,157500
1644,117000
1645,139500
1646,108000
1647,180000
1648,180000
1649,135000
1650,90000
1651,157500
1652,405000
1653,76500
1654,112500
1655,157500
1656,1575000
1657,157500
1658,202500
1659,270000
1660,135000
1661,157500
1662,135000
1663,270000
1664,225000
1665,171000
1666,202500
1667,202500
1668,202500
1669,112500
1670,252000
1671,225000
1672,270000
1673,180000
1674,72000
1675,99000
1676,135000
1677,337500
1678,270000
1679,112500
1680,270000
1681,112500
1682,157500
1683,90000
1684,166500
1685,135000
1686,135000
1687,135000
1688,135000
1689,337500
1690,270000
1691,247500
1692,157500
1693,193500
1694,126000
1695,225000
1696,90000
1697,225000
1698,121500
1699,135000
1700,67500
1701,315000
1702,175500
1703,247500
1704,202500
1705,135000
1706,189000
1707,76500
1708,225000
1709,180000
1710,112500
1711,121500
1712,144000
1713,112500
1714,202500
1715,180000
1716,270000
1717,135000
1718,180000
1719,157500
1720,153000
1721,225000
1722,180000
1723,180000
1724,90000
1725,157500
1726,67500
1727,216000
1728,90000
1729,261000
1730,180000
1731,90000
1732,121500
1733,256500
1734,67500
1735,387000
1736,135000
1737,153000
1738,180000
1739,135000
1740,202500
1741,126000
1742,103500
1743,225000
1744,225000
1745,180000
1746,222750
1747,135000
1748,126000
1749,90000
1750,225000
1751,135000
1752,391500
1753,67500
1754,180000
1755,90000
1756,157500
1757,180000
1758,202500
1759,247500
1760,135000
1761,90000
1762,315000
1763,180000
1764,675000
1765,180000
1766,67500
1767,148500
1768,202500
1769,135000
1770,180000
1771,405000
1772,153000
1773,202500
1774,112500
1775,202500
1776,180000
1777,180000
1778,90000
1779,189000
1780,157500
1781,175500
1782,225000
1783,270000
1784,121500
1785,135000
1786,112500
1787,157500
1788,135000
1789,112500
1790,72000
1791,180000
1792,99000
1793,153000
1794,90000
1795,135000
1796,315000
1797,90000
1798,247500
1799,157500
1800,121500
1801,130500
1802,129150
1803,157500
1804,72000
1805,202500
1806,315000
1807,103500
1808,270000
1809,225000
1810,112500
1811,202500
1812,337500
1813,90000
1814,135000
1815,180000
1816,67500
1817,202500
1818,112500
1819,216000
1820,202500
1821,157500
1822,180000
1823,270000
1824,180000
1825,157500
1826,157500
1827,121500
1828,180000
1829,67500
1830,157500
1831,202500
1832,180000
1833,162000
1834,225000
1835,225000
1836,180000
1837,225000
1838,157500
1839,225000
1840,126000
1841,157500
1842,315000
1843,225000
1844,225000
1845,112500
1846,198000
1847,225000
1848,135000
1849,202500
1850,247500
1851,126000
1852,139500
1853,225000
1854,112500
1855,202500
1856,148500
1857,225000
1858,180000
1859,121500
1860,270000
1861,157500
1862,225000
1863,144000
1864,135000
1865,270000
1866,135000
1867,270000
1868,225000
1869,202500
1870,121500
1871,130500
1872,90000
1873,90000
1874,202500
1875,180000
1876,112500
1877,112500
1878,450000
1879,81000
1880,202500
1881,90000
1882,157500
1883,225000
1884,112500
1885,202500
1886,90000
1887,81000
1888,180000
1889,270000
1890,90000
1891,130500
1892,189000
1893,207000
1894,202500
1895,121500
1896,81000
1897,292500
1898,180000
1899,225000
1900,90000
1901,126000
1902,112500
1903,225000
1904,292500
1905,247500
1906,180000
1907,157500
1908,180000
1909,270000
1910,360000
1911,121500
1912,135000
1913,135000
1914,157500
1915,292500
1916,157500
1917,103500
1918,130500
1919,135000
1920,45000
1921,157500
1922,90000
1923,225000
1924,202500
1925,144000
1926,270000
1927,131400
1928,157500
1929,315000
1930,135000
1931,90000
1932,135000
1933,81000
1934,405000
1935,90000
1936,135000
1937,180000
1938,202500
1939,180000
1940,675000
1941,135000
1942,76500
1943,360000
1944,225000
1945,247500
1946,90000
1947,157500
1948,243000
1949,202500
1950,180000
1951,315000
1952,157500
1953,112500
1954,202500
1955,202500
1956,112500
1957,135000
1958,112500
1959,225000
1960,315000
1961,166500
1962,360000
1963,157500
1964,157500
1965,267750
1966,360000
1967,135000
1968,157500
1969,306000
1970,135000
1971,135000
1972,103500
1973,225000
1974,112500
1975,135000
1976,405000
1977,135000
1978,225000
1979,67500
1980,360000
1981,540000
1982,72000
1983,180000
1984,202500
1985,180000
1986,180000
1987,180000
1988,135000
1989,225000
1990,81000
1991,180000
1992,270000
1993,315000
1994,112500
1995,162000
1996,315000
1997,180000
1998,112500
1999,135000
2000,135000
2001,135000
2002,180000
2003,180000
2004,225000
2005,225000
2006,76500
2007,112500
2008,225000
2009,112500
2010,157500
2011,126000
2012,225000
2013,126000
2014,157500
2015,360000
2016,157500
2017,144000
2018,378000
2019,135000
2020,135000
2021,292500
2022,225000
2023,81000
2024,135000
2025,225000
2026,270000
2027,315000
2028,157500
2029,180000
2030,382500
2031,180000
2032,225000
2033,495000
2034,121500
2035,270000
2036,139500
2037,270000
2038,157500
2039,90000
2040,180000
2041,112500
2042,90000
2043,139500
2044,153000
2045,180000
2046,135000
2047,67500
2048,279000
2049,225000
2050,202500
2051,270000
2052,126000
2053,112500
2054,270000
2055,180000
2056,225000
2057,157500
2058,198000
2059,630000
2060,144000
2061,90000
2062,112500
2063,144000
2064,202500
2065,247500
2066,112500
2067,225000
2068,126000
2069,292500
2070,148500
2071,90000
2072,144000
2073,135000
2074,202500
2075,162000
2076,90000
2077,148500
2078,157500
2079,288000
2080,315000
2081,225000
2082,180000
2083,360000
2084,121500
2085,234000
2086,225000
2087,270000
2088,157500
2089,225000
2090,225000
2091,112500
2092,270000
2093,135000
2094,135000
2095,180000
2096,90000
2097,157500
2098,202500
2099,112500
2100,157500
2101,76500
2102,315000
2103,171000
2104,112500
2105,180000
2106,135000
2107,81000
2108,135000
2109,112500
2110,216000
2111,270000
2112,112500
2113,225000
2114,126000
2115,157500
2116,540000
2117,450000
2118,180000
2119,391500
2120,135000
2121,112500
2122,270000
2123,157500
2124,175500
2125,225000
2126,247500
2127,90000
2128,157500
2129,144000
2130,148500
2131,94500
2132,450000
2133,225000
2134,135000
2135,135000
2136,270000
2137,315000
2138,315000
2139,225000
2140,180000
2141,157500
2142,135000
2143,225000
2144,157500
2145,225000
2146,157500
2147,360000
2148,180000
2149,225000
2150,202500
2151,225000
2152,225000
2153,90000
2154,112500
2155,306000
2156,112500
2157,180000
2158,225000
2159,261000
2160,144000
2161,135000
2162,180000
2163,337500
2164,247500
2165,157500
2166,315000
2167,90000
2168,270000
2169,261000
2170,130500
2171,145350
2172,337500
2173,315000
2174,56700
2175,90000
2176,180000
2177,112500
2178,157500
2179,135000
2180,157500
2181,135000
2182,135000
2183,270000
2184,171000
2185,117000
2186,157500
2187,180000
2188,112500
2189,33750
2190,81000
2191,247500
2192,112500
2193,292500
2194,135000
2195,351000
2196,463500
2197,135000
2198,225000
2199,247500
2200,306000
2201,270000
2202,112500
2203,112500
2204,270000
2205,157500
2206,265500
2207,90000
2208,126000
2209,337500
2210,382500
2211,90000
2212,135000
2213,256500
2214,180000
2215,225000
2216,180000
2217,81000
2218,135000
2219,324000
2220,112500
2221,225000
2222,270000
2223,270000
2224,112500
2225,315000
2226,189000
2227,81000
2228,247500
2229,67500
2230,225000
2231,382500
2232,121500
2233,225000
2234,360000
2235,180000
2236,180000
2237,157500
2238,90000
2239,270000
2240,202500
2241,360000
2242,157500
2243,270000
2244,112500
2245,202500
2246,135000
2247,247500
2248,81000
2249,135000
2250,112500
2251,31500
2252,90000
2253,157500
2254,90000
2255,247500
2256,292500
2257,157500
2258,324000
2259,90000
2260,112500
2261,405000
2262,112500
2263,157500
2264,90000
2265,180000
2266,90000
2267,135000
2268,225000
2269,135000
2270,67500
2271,675000
2272,94500
2273,67500
2274,135000
2275,292500
2276,315000
2277,90000
2278,135000
2279,112500
2280,148500
2281,166500
2282,135000
2283,114750
2284,135000
2285,179100
2286,72000
2287,157500
2288,112500
2289,216000
2290,373500
2291,135000
2292,202500
2293,135000
2294,202500
2295,85500
2296,225000
2297,157500
2298,81000
2299,112500
2300,252000
2301,337500
2302,270000
2303,360000
2304,450000
2305,135000
2306,112500
2307,405000
2308,112500
2309,270000
2310,81000
2311,180000
2312,67500
2313,157500
2314,270000
2315,135000
2316,162000
2317,90000
2318,139500
2319,675000
2320,90000
2321,225000
2322,157500
2323,135000
2324,112500
2325,211500
2326,310500
2327,112500
2328,135000
2329,337500
2330,225000
2331,247500
2332,162000
2333,202500
2334,180000
2335,166500
2336,326250
2337,157500
2338,180000
2339,270000
2340,202500
2341,652500
2342,337500
2343,180000
2344,180000
2345,171000
2346,90000
2347,225000
2348,135000
2349,292500
2350,112500
2351,90000
2352,337500
2353,225000
2354,112500
2355,202500
2356,135000
2357,135000
2358,180000
2359,144000
2360,216000
2361,450000
2362,90000
2363,157500
2364,135000
2365,157500
2366,180000
2367,202500
2368,202500
2369,225000
2370,247500
2371,112500
2372,225000
2373,148500
2374,270000
2375,157500
2376,225000
2377,81000
2378,252000
2379,99000
2380,202500
2381,216000
2382,360000
2383,270000
2384,270000
2385,225000
2386,450000
2387,90000
2388,157500
2389,126000
2390,33300
2391,180000
2392,135000
2393,189000
2394,112500
2395,225000
2396,90000
2397,135000
2398,162000
2399,157500
2400,378000
2401,67500
2402,180000
2403,112500
2404,360000
2405,112500
2406,225000
2407,495000
2408,90000
2409,112500
2410,72000
2411,126000
2412,184500
2413,387000
2414,157500
2415,49500
2416,90000
2417,180000
2418,67500
2419,112500
2420,180000
2421,67500
2422,256500
2423,108000
2424,135000
2425,49500
2426,90000
2427,134419.5
2428,135000
2429,112500
2430,360000
2431,270000
2432,135000
2433,180000
2434,225000
2435,540000
2436,405000
2437,112500
2438,139500
2439,103500
2440,292500
2441,67500
2442,180000
2443,157500
2444,90000
2445,225000
2446,117000
2447,157500
2448,270000
2449,180000
2450,180000
2451,135000
2452,180000
2453,139500
2454,72000
2455,67500
2456,189000
2457,135000
2458,135000
2459,360000
2460,180000
2461,76500
2462,67500
2463,315000
2464,225000
2465,202500
2466,225000
2467,157500
2468,247500
2469,270000
2470,202500
2471,216000
2472,180000
2473,288000
2474,202500
2475,45000
2476,225000
2477,135000
2478,270000
2479,135000
2480,99000
2481,126000
2482,135000
2483,180000
2484,270000
2485,135000
2486,229500
2487,112500
2488,180000
2489,135000
2490,90000
2491,54000
2492,180000
2493,225000
2494,270000
2495,139500
